response_id,prompt_id,prompt_image,response_image_1,response_image_2,response_image_3,response_image_4,response_image_5,#llm_model,#temperature,#date_run,#llm_provider,#prompt_run_by
22,5,prompt_5.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_5_run_0_temp_1.0_model_gemini-2.0-flash-001_chat.png,,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 11:23:44,gemini,Artur
23,5,prompt_5.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_5_run_0_temp_1.0_model_gpt-4.1_chat.png,,,,,openai/gpt-4.1,1.0,2025-05-04 11:24:13,openai,Artur
24,6,prompt_6.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_6_run_0_temp_1.0_model_mistral-large-2411_chat.png,,,,,mistral/mistral-large-2411,1.0,2025-05-04 11:24:55,mistral,Artur
25,6,prompt_6.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_6_run_0_temp_1.0_model_gemini-2.0-flash-001_chat.png,,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 11:25:04,gemini,Artur
26,6,prompt_6.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_6_run_0_temp_1.0_model_gpt-4.1_chat.png,,,,,openai/gpt-4.1,1.0,2025-05-04 11:25:17,openai,Artur
27,7,prompt_7.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_7_run_0_temp_1.0_model_mistral-large-2411_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_7_run_0_temp_1.0_model_mistral-large-2411_chat_1.png,,,,mistral/mistral-large-2411,1.0,2025-05-04 11:26:59,mistral,Artur
28,7,prompt_7.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_7_run_0_temp_1.0_model_gemini-2.0-flash-001_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_7_run_0_temp_1.0_model_gemini-2.0-flash-001_chat_1.png,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 11:27:32,gemini,Artur
29,7,prompt_7.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_7_run_0_temp_1.0_model_gpt-4.1_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_7_run_0_temp_1.0_model_gpt-4.1_chat_2.png,,,,openai/gpt-4.1,1.0,2025-05-04 11:29:04,openai,Artur
30,8,prompt_8.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_8_run_0_temp_1.0_model_mistral-large-2411_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_8_run_0_temp_1.0_model_mistral-large-2411_chat_2.png,,,,mistral/mistral-large-2411,1.0,2025-05-04 11:30:52,mistral,Artur
31,8,prompt_8.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_8_run_0_temp_1.0_model_gemini-2.0-flash-001_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_8_run_0_temp_1.0_model_gemini-2.0-flash-001_chat_2.png,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 11:31:36,gemini,Artur
32,8,prompt_8.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_8_run_0_temp_1.0_model_gpt-4.1_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_8_run_0_temp_1.0_model_gpt-4.1_chat_2.png,,,,openai/gpt-4.1,1.0,2025-05-04 11:32:49,openai,Artur
33,9,prompt_9.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_9_run_0_temp_1.0_model_mistral-large-2411_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_9_run_0_temp_1.0_model_mistral-large-2411_chat_1.png,,,,mistral/mistral-large-2411,1.0,2025-05-04 11:34:30,mistral,Artur
34,9,prompt_9.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_9_run_0_temp_1.0_model_gemini-2.0-flash-001_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_9_run_0_temp_1.0_model_gemini-2.0-flash-001_chat_1.png,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 11:35:06,gemini,Artur
35,9,prompt_9.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_9_run_0_temp_1.0_model_gpt-4.1_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_9_run_0_temp_1.0_model_gpt-4.1_chat_1.png,,,,openai/gpt-4.1,1.0,2025-05-04 11:36:38,openai,Artur
36,10,prompt_10.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_10_run_0_temp_1.0_model_mistral-large-2411_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_10_run_0_temp_1.0_model_mistral-large-2411_chat_1.png,,,,mistral/mistral-large-2411,1.0,2025-05-04 11:38:20,mistral,Artur
37,10,prompt_10.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_10_run_0_temp_1.0_model_gemini-2.0-flash-001_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_10_run_0_temp_1.0_model_gemini-2.0-flash-001_chat_3.png,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 11:39:16,gemini,Artur
38,10,prompt_10.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_10_run_0_temp_1.0_model_gpt-4.1_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_10_run_0_temp_1.0_model_gpt-4.1_chat_2.png,,,,openai/gpt-4.1,1.0,2025-05-04 11:41:07,openai,Artur
39,11,prompt_11.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_11_run_0_temp_1.0_model_mistral-large-2411_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_11_run_0_temp_1.0_model_mistral-large-2411_chat_3.png,,,,mistral/mistral-large-2411,1.0,2025-05-04 11:43:22,mistral,Artur
40,11,prompt_11.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_11_run_0_temp_1.0_model_gemini-2.0-flash-001_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_11_run_0_temp_1.0_model_gemini-2.0-flash-001_chat_4.png,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 11:44:31,gemini,Artur
41,11,prompt_11.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_11_run_0_temp_1.0_model_gpt-4.1_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_11_run_0_temp_1.0_model_gpt-4.1_chat_3.png,,,,openai/gpt-4.1,1.0,2025-05-04 11:46:29,openai,Artur
42,12,prompt_12.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_12_run_0_temp_1.0_model_mistral-large-2411_chat.png,,,,,mistral/mistral-large-2411,1.0,2025-05-04 11:47:32,mistral,Artur
43,12,prompt_12.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_12_run_0_temp_1.0_model_gemini-2.0-flash-001_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_12_run_0_temp_1.0_model_gemini-2.0-flash-001_chat_1.png,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 11:47:58,gemini,Artur
44,12,prompt_12.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_12_run_0_temp_1.0_model_gpt-4.1_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_12_run_0_temp_1.0_model_gpt-4.1_chat_1.png,,,,openai/gpt-4.1,1.0,2025-05-04 11:48:48,openai,Artur
45,13,prompt_13.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_13_run_0_temp_1.0_model_mistral-large-2411_chat.png,,,,,mistral/mistral-large-2411,1.0,2025-05-04 11:49:45,mistral,Artur
46,13,prompt_13.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_13_run_0_temp_1.0_model_gemini-2.0-flash-001_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_13_run_0_temp_1.0_model_gemini-2.0-flash-001_chat_2.png,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 11:50:26,gemini,Artur
47,13,prompt_13.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_13_run_0_temp_1.0_model_gpt-4.1_chat.png,,,,,openai/gpt-4.1,1.0,2025-05-04 11:51:19,openai,Artur
48,14,prompt_14.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_14_run_0_temp_1.0_model_mistral-large-2411_chat.png,,,,,mistral/mistral-large-2411,1.0,2025-05-04 11:52:23,mistral,Artur
49,14,prompt_14.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_14_run_0_temp_1.0_model_gemini-2.0-flash-001_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_14_run_0_temp_1.0_model_gemini-2.0-flash-001_chat_1.png,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 11:53:01,gemini,Artur
50,14,prompt_14.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_14_run_0_temp_1.0_model_gpt-4.1_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_14_run_0_temp_1.0_model_gpt-4.1_chat_1.png,,,,openai/gpt-4.1,1.0,2025-05-04 11:53:59,openai,Artur
51,15,prompt_15.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_15_run_0_temp_1.0_model_mistral-large-2411_chat.png,,,,,mistral/mistral-large-2411,1.0,2025-05-04 11:55:04,mistral,Artur
52,15,prompt_15.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_15_run_0_temp_1.0_model_gemini-2.0-flash-001_chat.png,,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 11:55:24,gemini,Artur
53,15,prompt_15.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_15_run_0_temp_1.0_model_gpt-4.1_chat.png,,,,,openai/gpt-4.1,1.0,2025-05-04 11:55:46,openai,Artur
54,16,prompt_16.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_16_run_0_temp_1.0_model_mistral-large-2411_chat.png,,,,,mistral/mistral-large-2411,1.0,2025-05-04 11:56:16,mistral,Artur
55,16,prompt_16.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_16_run_0_temp_1.0_model_gemini-2.0-flash-001_chat.png,,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 11:56:24,gemini,Artur
56,16,prompt_16.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_16_run_0_temp_1.0_model_gpt-4.1_chat.png,,,,,openai/gpt-4.1,1.0,2025-05-04 11:56:34,openai,Artur
60,18,prompt_18.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_18_run_0_temp_1.0_model_mistral-large-2411_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_18_run_0_temp_1.0_model_mistral-large-2411_chat_1.png,,,,mistral/mistral-large-2411,1.0,2025-05-04 11:58:53,mistral,Artur
61,18,prompt_18.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_18_run_0_temp_1.0_model_gemini-2.0-flash-001_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_18_run_0_temp_1.0_model_gemini-2.0-flash-001_chat_2.png,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 11:59:22,gemini,Artur
62,18,prompt_18.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_18_run_0_temp_1.0_model_gpt-4.1_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_18_run_0_temp_1.0_model_gpt-4.1_chat_1.png,,,,openai/gpt-4.1,1.0,2025-05-04 12:00:34,openai,Artur
63,19,prompt_19.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_19_run_0_temp_1.0_model_mistral-large-2411_chat.png,,,,,mistral/mistral-large-2411,1.0,2025-05-04 12:01:18,mistral,Artur
64,19,prompt_19.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_19_run_0_temp_1.0_model_gemini-2.0-flash-001_chat.png,,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 12:01:31,gemini,Artur
65,19,prompt_19.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_19_run_0_temp_1.0_model_gpt-4.1_chat.png,,,,,openai/gpt-4.1,1.0,2025-05-04 12:02:01,openai,Artur
66,20,prompt_20.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_20_run_0_temp_1.0_model_mistral-large-2411_chat.png,,,,,mistral/mistral-large-2411,1.0,2025-05-04 12:02:52,mistral,Artur
67,20,prompt_20.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_20_run_0_temp_1.0_model_gemini-2.0-flash-001_chat.png,,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 12:03:07,gemini,Artur
68,20,prompt_20.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_20_run_0_temp_1.0_model_gpt-4.1_chat.png,,,,,openai/gpt-4.1,1.0,2025-05-04 12:03:44,openai,Artur
69,21,prompt_21.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_21_run_0_temp_1.0_model_mistral-large-2411_chat.png,,,,,mistral/mistral-large-2411,1.0,2025-05-04 12:04:28,mistral,Artur
70,21,prompt_21.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_21_run_0_temp_1.0_model_gemini-2.0-flash-001_chat.png,,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 12:04:43,gemini,Artur
71,21,prompt_21.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_21_run_0_temp_1.0_model_gpt-4.1_chat.png,,,,,openai/gpt-4.1,1.0,2025-05-04 12:05:24,openai,Artur
72,22,prompt_22.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_22_run_0_temp_1.0_model_mistral-large-2411_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_22_run_0_temp_1.0_model_mistral-large-2411_chat_1.png,,,,mistral/mistral-large-2411,1.0,2025-05-04 12:06:18,mistral,Artur
73,22,prompt_22.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_22_run_0_temp_1.0_model_gemini-2.0-flash-001_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_22_run_0_temp_1.0_model_gemini-2.0-flash-001_chat_1.png,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 12:06:44,gemini,Artur
74,22,prompt_22.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_22_run_0_temp_1.0_model_gpt-4.1_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_22_run_0_temp_1.0_model_gpt-4.1_chat_1.png,,,,openai/gpt-4.1,1.0,2025-05-04 12:08:00,openai,Artur
75,23,prompt_23.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_23_run_0_temp_1.0_model_mistral-large-2411_chat.png,,,,,mistral/mistral-large-2411,1.0,2025-05-04 12:08:49,mistral,Artur
76,23,prompt_23.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_23_run_0_temp_1.0_model_gemini-2.0-flash-001_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_23_run_0_temp_1.0_model_gemini-2.0-flash-001_chat_1.png,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 12:09:09,gemini,Artur
77,23,prompt_23.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_23_run_0_temp_1.0_model_gpt-4.1_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_23_run_0_temp_1.0_model_gpt-4.1_chat_1.png,,,,openai/gpt-4.1,1.0,2025-05-04 12:10:08,openai,Artur
78,24,prompt_24.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_24_run_0_temp_1.0_model_mistral-large-2411_chat_0.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_24_run_0_temp_1.0_model_mistral-large-2411_chat_1.png,,,,mistral/mistral-large-2411,1.0,2025-05-04 12:11:05,mistral,Artur
79,24,prompt_24.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_24_run_0_temp_1.0_model_gemini-2.0-flash-001_chat.png,,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 12:11:20,gemini,Artur
80,24,prompt_24.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_24_run_0_temp_1.0_model_gpt-4.1_chat.png,,,,,openai/gpt-4.1,1.0,2025-05-04 12:12:05,openai,Artur
